id,question,answer,category,subcategory,difficulty,source,dataset_name,interview_type,language,tags,created_at
1,[Java - Easy] What is Java?,"Java is a high-level, class-based, object-oriented programming language.",Software Engineering,Programming,Easy,Hugging Face,Programming Interview Questions,Coding,English,"programming, coding, interview",2026-07-09 12:52:34
2,[Java - Easy] What is the difference between JDK and JRE?,"JDK (Java Development Kit) is for development purposes, while JRE (Java Runtime Environment) is for running Java programs.",Software Engineering,Programming,Easy,Hugging Face,Programming Interview Questions,Coding,English,"programming, coding, interview",2026-07-09 12:52:34
3,[Java - Easy] Explain the main features of Java.,"Some main features of Java include platform independence, object-oriented, robust, secure, and high performance.",Software Engineering,Programming,Easy,Hugging Face,Programming Interview Questions,Coding,English,"programming, coding, interview",2026-07-09 12:52:34
4,[Java - Easy] What is the difference between == and equals() in Java?,"== is used to compare references, while equals() is used to compare the actual content of objects.",Software Engineering,Programming,Easy,Hugging Face,Programming Interview Questions,Coding,English,"programming, coding, interview",2026-07-09 12:52:34
5,[Java - Easy] What is the purpose of the 'static' keyword in Java?,The 'static' keyword is used to create class-level variables and methods that can be accessed without creating an instance of the class.,Software Engineering,Programming,Easy,Hugging Face,Programming Interview Questions,Coding,English,"programming, coding, interview",2026-07-09 12:52:34
6,[Java - Easy] Explain the concept of inheritance in Java.,"Inheritance in Java allows a class to inherit properties and behavior from another class, promoting code reusability.",Software Engineering,Programming,Easy,Hugging Face,Programming Interview Questions,Coding,English,"programming, coding, interview",2026-07-09 12:52:34
7,[Java - Easy] What is the difference between abstract class and interface in Java?,"An abstract class can have both abstract and concrete methods, while an interface can only have abstract methods.",Software Engineering,Programming,Easy,Hugging Face,Programming Interview Questions,Coding,English,"programming, coding, interview",2026-07-09 12:52:34
8,[Java - Easy] What is the role of the 'final' keyword in Java?,"The 'final' keyword is used to make a variable constant, a method final, or a class not extendable.",Software Engineering,Programming,Easy,Hugging Face,Programming Interview Questions,Coding,English,"programming, coding, interview",2026-07-09 12:52:34
9,[Java - Easy] How does exception handling work in Java?,"Exception handling in Java allows the programmer to handle runtime errors gracefully, preventing the program from crashing.",Software Engineering,Programming,Easy,Hugging Face,Programming Interview Questions,Coding,English,"programming, coding, interview",2026-07-09 12:52:34
10,[Java - Easy] What is the significance of the 'this' keyword in Java?,The 'this' keyword in Java refers to the current instance of the class and is used to differentiate between instance variables and parameters.,Software Engineering,Programming,Easy,Hugging Face,Programming Interview Questions,Coding,English,"programming, coding, interview",2026-07-09 12:52:34
11,[Java - Easy] Explain the concept of polymorphism in Java.,"Polymorphism in Java allows objects of different classes to be treated as objects of a common superclass, enabling flexibility and extensibility in code.",Software Engineering,Programming,Easy,Hugging Face,Programming Interview Questions,Coding,English,"programming, coding, interview",2026-07-09 12:52:34
12,[Java - Easy] What is the purpose of the 'super' keyword in Java?,"The 'super' keyword in Java is used to refer to the superclass of the current object, allowing access to superclass methods and constructors.",Software Engineering,Programming,Easy,Hugging Face,Programming Interview Questions,Coding,English,"programming, coding, interview",2026-07-09 12:52:34
13,[Java - Easy] How does Java handle multithreading?,"Java supports multithreading by allowing multiple threads to run concurrently within a single program, enhancing performance and responsiveness.",Software Engineering,Programming,Easy,Hugging Face,Programming Interview Questions,Coding,English,"programming, coding, interview",2026-07-09 12:52:34
14,[Java - Easy] What is the difference between ArrayList and LinkedList in Java?,"ArrayList is implemented as a resizable array, while LinkedList is implemented as a doubly linked list, affecting performance and memory usage.",Software Engineering,Programming,Easy,Hugging Face,Programming Interview Questions,Coding,English,"programming, coding, interview",2026-07-09 12:52:34
15,[Java - Easy] Explain the concept of encapsulation in Java.,"Encapsulation in Java involves bundling data (attributes) and methods (behavior) within a class, hiding the internal state of an object and protecting it from external interference.",Software Engineering,Programming,Easy,Hugging Face,Programming Interview Questions,Coding,English,"programming, coding, interview",2026-07-09 12:52:34
16,[Java - Easy] What is the purpose of the 'volatile' keyword in Java?,"The 'volatile' keyword in Java is used to indicate that a variable's value will be modified by different threads, ensuring visibility and preventing thread caching.",Software Engineering,Programming,Easy,Hugging Face,Programming Interview Questions,Coding,English,"programming, coding, interview",2026-07-09 12:52:34
17,[Java - Easy] How does Java handle garbage collection?,"Java's garbage collection mechanism automatically manages memory by reclaiming unused objects, preventing memory leaks and simplifying memory management.",Software Engineering,Programming,Easy,Hugging Face,Programming Interview Questions,Coding,English,"programming, coding, interview",2026-07-09 12:52:34
18,[Java - Easy] What is the difference between method overloading and method overriding in Java?,"Method overloading involves creating multiple methods in the same class with the same name but different parameters, while method overriding involves redefining a method in a subclass with the same signature as a method in the superclass.",Software Engineering,Programming,Easy,Hugging Face,Programming Interview Questions,Coding,English,"programming, coding, interview",2026-07-09 12:52:34
19,[Java - Easy] Explain the concept of interfaces in Java.,"Interfaces in Java define a contract for classes to implement, specifying method signatures without method bodies, promoting code reusability and multiple inheritance.",Software Engineering,Programming,Easy,Hugging Face,Programming Interview Questions,Coding,English,"programming, coding, interview",2026-07-09 12:52:34
20,[Java - Easy] What is the purpose of the 'try-catch-finally' block in Java?,"The 'try-catch-finally' block in Java is used for exception handling, where code within the 'try' block is executed, and exceptions are caught and handled in the 'catch' block, with the 'finally' block ensuring cleanup code is always executed.",Software Engineering,Programming,Easy,Hugging Face,Programming Interview Questions,Coding,English,"programming, coding, interview",2026-07-09 12:52:34
