id,question,answer,category,subcategory,difficulty,source,dataset_name,interview_type,language,tags,created_at
1,What is the difference between compilation and interpretation?,Compilation translates source code into machine code creating an executable file. Interpretation translates and executes code line by line without an executable.,General Programming,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
2,Explain the concept of polymorphism.,"Polymorphism allows objects of different classes to be treated as objects of a common superclass, enabling method overriding.",General Programming,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
3,Define encapsulation and give an example.,"Encapsulation bundles data and methods in a class, restricting direct data access. Example: class with private data and public methods.",General Programming,General,Hard,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
4,"What is an abstract class, and how is it different from an interface?",An abstract class can't be instantiated and can have abstract and concrete methods. An interface only has method signatures without implementations.,General Programming,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
5,Describe the principles of Object-Oriented Programming (OOP).,"OOP principles include encapsulation, inheritance, polymorphism, and abstraction, promoting organized and maintainable code.",General Programming,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
6,What is the purpose of a constructor?,"A constructor initializes object properties upon class instantiation, ensuring a well-defined state.",General Programming,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
7,Explain the difference between stack and heap memory.,"Stack memory stores local variables and function calls; heap memory is for dynamic allocation. Stack operates in LIFO, heap managed manually or by garbage collection.",General Programming,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
8,"What is a design pattern, and can you name a few?","Design patterns are solutions to common design problems. Examples: Singleton, Factory, Observer, MVC.",General Programming,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
9,"Define the term ""DRY"" in software development.",DRY (Don't Repeat Yourself) advocates for avoiding code duplication by reusing existing code.,General Programming,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
10,What is the SOLID principle?,"SOLID represents five design principles for OOP: Single Responsibility, Open/Closed, Liskov Substitution, Interface Segregation, Dependency Inversion.",General Program,General,Hard,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
11,What is the difference between an array and a linked list?,"An array has fixed size and stores elements in contiguous memory; a linked list consists of nodes with data and references, allowing dynamic size.",Data Structures,General,Easy,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
12,Explain the time complexity of an algorithm.,"Time complexity measures the time an algorithm takes relative to its input size, expressed in Big O notation.",Data Structures,General,Hard,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
13,Describe the difference between a binary search tree and a hash table.,"A binary search tree is hierarchical, maintaining order; a hash table maps keys to values for fast retrieval, without maintaining order.",Data Structures,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
14,What is a linked list and how does it work?,"A linked list is a series of nodes each containing data and a reference to the next node, allowing dynamic memory allocation and efficient insertions/deletions.",Data Structures,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
15,Explain the concept of recursion.,"Recursion is when a function calls itself to solve subproblems, with a base case to terminate recursion.",Data Structures,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
16,"What is Big O notation, and why is it important?","Big O notation describes the upper bound of algorithm time complexity, important for comparing efficiency and growth rates.",Data Structures,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
17,How do you perform a binary search on a sorted array?,"Binary search divides the search interval in half, repeatedly comparing the middle element to the target.",Data Structures,General,Hard,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
18,Discuss the advantages and disadvantages of different sorting algorithms.,Sorting algorithms vary in time/space complexity and stability. Quick Sort and Merge Sort are fast but more complex; Insertion and Bubble Sort are simple but slower.,Data Structures,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
19,Explain how a hash table works.,"A hash table uses a hash function to map keys to values in an array, allowing fast O(1) access.",Data Structures,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
20,What is dynamic programming?,"Dynamic programming solves complex problems by dividing them into smaller subproblems, avoiding redundant calculations.",Data Structures,General,Hard,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
21,What is the difference between Java and JavaScript?,"Java is a compiled, statically-typed language used for server-side, mobile, and desktop apps. JavaScript is an interpreted, dynamically-typed language for web development.",Languages and Frameworks,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
22,Describe the MVC architectural pattern.,"MVC divides an application into Model (data), View (UI), and Controller (input handling), promoting separation of concerns.",Languages and Frameworks,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
23,What is a RESTful API?,"RESTful API is a web service implementation using HTTP methods to perform CRUD operations on resources, adhering to stateless, client-server architecture.",Languages and Frameworks,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
24,"Explain the use of ""this"" keyword in JavaScript.","""this"" in JavaScript refers to the execution context, varying based on function calling, global scope, or event handlers.",Languages and Frameworks,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
25,What is a closure in programming?,A closure is a function with access to its outer scope variables even after the outer function has executed.,Languages and Frameworks,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
26,What are the differences between Python 2 and Python 3?,"Python 3 has print as a function, true division, Unicode support by default, and different syntax for exceptions, unlike Python 2.",Languages and Frameworks,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
27,Discuss the role of a package manager like npm or pip.,"Package managers manage installation, update, and dependency resolution of libraries, simplifying library management in development.",Languages and Frameworks,General,Hard,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
28,Explain the concept of multi-threading in Java.,"Multi-threading in Java allows concurrent execution of multiple threads, improving application responsiveness and performance.",Languages and Frameworks,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
29,What is a Singleton pattern?,"Singleton ensures a class has only one instance and provides a global access point to it, useful for shared resources.",Languages and Frameworks,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
30,What is a virtual function in C++?,"Virtual functions in C++ allow derived classes to override them, enabling runtime polymorphism and dynamic method dispatch.",Languages and Frameworks,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
