question,question_word_count
"You may recall that Common Gateway Interface (CGI) is a standard protocol for web servers to execute programs (CGI scripts) that execute as Command-line programs on a server, and that dynamically generate HTML pages when invoked by a HTTP request. Perl and PHP used to be common languages for such scripts. In CGI, a HTTP request generally causes the invocation of a new process on the server, but FastCGI, SCGI and other approaches improved the mechanism, raising the performance, with techniques such as preforking processes. Can you discuss why CGI became obsolete, and was instead replaced with other architectural approaches?",100
"Someone gave the name ""The ""C10k problem"" to the problem of optimising network sockets to handle over 10.000 open connections at once. While handling 10.000 concurrent clients is not the same as handling 10.000 open connection, the context is similar. It's a tough challenge anyway, and no one is expected to know every single detail to solve it. It may be interesting to discuss the strategies you know to deal with that problem. Would you like to try?",78
"Of of the Continuous Integration's techniques is called Blue-Green Deployment: it consists in having two production environments, as identical as possible, and in performing the deployment in one of them while the other one is still operating, and than in safely switching the traffic to the second one after some convenient testing. This technique becomes more complicated when the deployment includes changes to the database structure or content. I'd like to discuss this topic with you.",76
"Data-Mapper is a design pattern that promotes the use of a layer of Mappers that moves data between objects and a database while keeping them independent of each other and the mapper itself. On the contrary, in Active-Record objects directly incorporate operations for persisting themselves to a database, and properties corresponding to the underlying database tables. Do you have an opinion on those patterns? When would you use one instead of the other?",73
"Is goto evil? You may have heard of the famous paper ""Go To Statement Considered Harmful"" by Edsger Dijkstra, in which he criticized the use of the `goto` statement and advocated structured programming instead. The use of `goto` has always been controversial, so much that even Dijkstra's letter was criticized with articles such as ""'GOTO Considered Harmful' Considered Harmful"". What's your opinion on the use of `goto`?",67
"C++ supports multiple inheritance, and Java allows a class to implement multiple interfaces. What impact does using these facilities have on orthogonality? Is there a difference in impact between using multiple inheritance and multiple interfaces? Is there a difference between using delegation and using inheritance? [This question is from The Pragmatic Programmer, by Andrew Hunt and David Thomas]",58
"Generate interview questions based on this resume and job description: Azure, Solidity, Kubernetes, Deep Learning, Node.js, Cloud Computing, Data Analysis, Machine Learning | Target Role: Aspiring to join a dynamic team as an AI Engineer where I can leverage my expertise in deep learning, natural language processing, and computer vision to build innovative AI products and services.",57
"There are a lot of different type systems. Let's talk about static and dynamic type systems, and about strong and weak ones. You surely have an opinion and a preference about this topic. Would you like to share them, and discuss why and when would you promote one particular type system for developing an enterprise software?",56
"Generate interview questions based on this resume and job description: CI/CD, Terraform, MongoDB, GraphQL, Penetration Testing, JavaScript, Data Analysis, Blockchain | Target Role: Seeking a challenging role as an AI Engineer to develop and implement cutting-edge artificial intelligence solutions. Looking to work on machine learning models, neural networks, and AI-driven applications that solve real-world business problems.",56
"Generate interview questions based on this resume and job description: PyTorch, Python, Blockchain, Terraform, Scrum, Natural Language Processing, JavaScript, Solidity | Target Role: Seeking a challenging role as an AI Engineer to develop and implement cutting-edge artificial intelligence solutions. Looking to work on machine learning models, neural networks, and AI-driven applications that solve real-world business problems.",56
"Generate interview questions based on this resume and job description: Presentation Skills, Social Media Marketing, Content Writing, Time Management, Financial Analysis, Risk Management, Problem Solving, Team Management | Target Role: Seeking a challenging role as a Market Research Analyst where I can apply my skills and knowledge to contribute to organizational success and professional growth.",55
"* Pretend you have a time machine and pretend that you have the opportunity to go to a particular point in time during Java's (or C#, Python, Go or whatever) history, and talk with some of the JDK architects. What would you try to convince them of? Removing checked exceptions? Adding unsigned primitives? Adding multiple-inheritance?",55
"Generate interview questions based on this resume and job description: React, Linux, Blockchain, GraphQL, Data Analysis, AWS, Cybersecurity | Target Role: Seeking a challenging role as an AI Engineer to develop and implement cutting-edge artificial intelligence solutions. Looking to work on machine learning models, neural networks, and AI-driven applications that solve real-world business problems.",54
"Generate interview questions based on this resume and job description: Penetration Testing, Python, Agile, PyTorch, Azure, Jenkins, TensorFlow, Linux | Target Role: Aspiring to join a dynamic team as an AI Engineer where I can leverage my expertise in deep learning, natural language processing, and computer vision to build innovative AI products and services.",54
"Generate interview questions based on this resume and job description: Microservices, Deep Learning, Spark, Cloud Computing, MongoDB, Linux | Target Role: Seeking a challenging role as an AI Engineer to develop and implement cutting-edge artificial intelligence solutions. Looking to work on machine learning models, neural networks, and AI-driven applications that solve real-world business problems.",54
"Generate interview questions based on this resume and job description: GraphQL, Microservices, SQL, Ansible, Natural Language Processing, DevOps | Target Role: Aspiring to join a dynamic team as an AI Engineer where I can leverage my expertise in deep learning, natural language processing, and computer vision to build innovative AI products and services.",53
"Generate interview questions based on this resume and job description: AWS, Java, PyTorch, Machine Learning, Penetration Testing | Target Role: Seeking a challenging role as an AI Engineer to develop and implement cutting-edge artificial intelligence solutions. Looking to work on machine learning models, neural networks, and AI-driven applications that solve real-world business problems.",53
"Generate interview questions based on this resume and job description: Kafka, Java, Linux, Microservices, Ansible, Jenkins, MongoDB | Target Role: Seeking a challenging role as an AI Engineer to develop and implement cutting-edge artificial intelligence solutions. Looking to work on machine learning models, neural networks, and AI-driven applications that solve real-world business problems.",53
"Generate interview questions based on this resume and job description: Jenkins, Scrum, CI/CD, Microservices, Java, Network Security, Blockchain | Target Role: Aspiring to join a dynamic team as an AI Engineer where I can leverage my expertise in deep learning, natural language processing, and computer vision to build innovative AI products and services.",53
"Generate interview questions based on this resume and job description: Penetration Testing, Kubernetes, DevOps, Microservices, Docker, Natural Language Processing, JavaScript, AWS | Target Role: Targeting a Data Scientist position where I can utilize my expertise in Python, R, SQL, and machine learning algorithms to solve business challenges through data analysis and predictive modeling.",53
