id,question,answer,category,subcategory,difficulty,source,dataset_name,interview_type,language,tags,created_at
1,"Generate interview questions based on this resume and job description: Node.js, JavaScript, Deep Learning, Statistics, SQL | Target Role: Seeking a challenging role as a Software Developer where I can apply my skills and knowledge to contribute to organizational success and professional growth.",,nan,Cybersecurity,Unknown,Kaggle,Resume Job Description,Resume-Based,English,"resume, job description, skills",2026-07-09 12:52:35
2,"Generate interview questions based on this resume and job description: Spark, Kubernetes, Terraform, Natural Language Processing | Target Role: Targeting a Cybersecurity Engineer position to utilize my educational background and experience to drive results and achieve career objectives.",,Cybersecurity Engineer,Electronics Engineering,Unknown,Kaggle,Resume Job Description,Resume-Based,English,"resume, job description, skills",2026-07-09 12:52:35
3,"Generate interview questions based on this resume and job description: Data Analysis, Node.js, Machine Learning, Linux, Jenkins, Network Security, REST APIs | Target Role: Targeting a Prompt Engineer position to utilize my educational background and experience to drive results and achieve career objectives.",,Prompt Engineer,Computer Science,Unknown,Kaggle,Resume Job Description,Resume-Based,English,"resume, job description, skills",2026-07-09 12:52:35
4,"Generate interview questions based on this resume and job description: Docker, Kubernetes, Blockchain, Spark | Target Role: Targeting a Data Scientist position where I can utilize my expertise in Python, R, SQL, and machine learning algorithms to solve business challenges through data analysis and predictive modeling.",,AI Engineer,Information Technology,Unknown,Kaggle,Resume Job Description,Resume-Based,English,"resume, job description, skills",2026-07-09 12:52:35
5,"Generate interview questions based on this resume and job description: Statistics, Blockchain, Kubernetes, Cybersecurity | Target Role: Looking for an opportunity as a Prompt Engineer to leverage my expertise in electronics engineering and make a meaningful impact in the industry.",,Cybersecurity Engineer,Electronics Engineering,Unknown,Kaggle,Resume Job Description,Resume-Based,English,"resume, job description, skills",2026-07-09 12:52:35
6,"Generate interview questions based on this resume and job description: Python, Linux, Network Security, Java, AWS, CI/CD, Git, Natural Language Processing | Target Role: Targeting a Quantum Computing Specialist position to utilize my educational background and experience to drive results and achieve career objectives.",,nan,Software Engineering,Unknown,Kaggle,Resume Job Description,Resume-Based,English,"resume, job description, skills",2026-07-09 12:52:35
7,"Generate interview questions based on this resume and job description: Ansible, Kubernetes, Computer Vision, DevOps, Blockchain, Machine Learning, PyTorch | Target Role: Seeking a challenging role as a Backend Developer where I can apply my skills and knowledge to contribute to organizational success and professional growth.",,nan,Software Engineering,Unknown,Kaggle,Resume Job Description,Resume-Based,English,"resume, job description, skills",2026-07-09 12:52:35
8,"Generate interview questions based on this resume and job description: Node.js, React, Deep Learning, JavaScript | Target Role: Seeking a Product Manager position to drive product strategy, define roadmaps, and collaborate with engineering and design teams to deliver successful products.",,Product Manager,Electrical Engineering,Unknown,Kaggle,Resume Job Description,Resume-Based,English,"resume, job description, skills",2026-07-09 12:52:35
9,"Generate interview questions based on this resume and job description: React, REST APIs, Agile, MongoDB | Target Role: Looking for an opportunity as a Data Scientist to work with large datasets, build predictive models, and communicate findings to stakeholders through compelling visualizations and reports.",,Data Scientist,Robotics,Unknown,Kaggle,Resume Job Description,Resume-Based,English,"resume, job description, skills",2026-07-09 12:52:35
10,"Generate interview questions based on this resume and job description: SQL, Natural Language Processing, Kubernetes, GraphQL | Target Role: Targeting a Quantum Computing Specialist position to utilize my educational background and experience to drive results and achieve career objectives.",,Quantum Computing Specialist,Electronics Engineering,Unknown,Kaggle,Resume Job Description,Resume-Based,English,"resume, job description, skills",2026-07-09 12:52:35
