dataset_name,source,rows,columns,status,download_date
ai_interview_questions,Hugging Face: K-areem/AI-Interview-Questions,4653,1,Downloaded,2026-07-03 08:26:23
ai_interview_questions,Hugging Face: K-areem/AI-Interview-Questions,1164,1,Downloaded,2026-07-03 08:26:23
ai_interview_questions,Hugging Face: K-areem/AI-Interview-Questions,4653,1,Downloaded,2026-07-03 08:46:50
ai_interview_questions,Hugging Face: K-areem/AI-Interview-Questions,1164,1,Downloaded,2026-07-03 08:46:50
chatbot_arena,Hugging Face: lmsys/chatbot_arena_conversations,0,0,Failed: Dataset 'lmsys/chatbot_arena_conversations' is a gated dataset on the Hub. You must be authenticated to access it.,2026-07-03 08:46:51
software_engineering_hf,Hugging Face: ali-alkhars/interviews,2292,2,Downloaded,2026-07-03 08:46:55
programming_interview,Hugging Face: Aiman1234/Interview-questions,496,6,Downloaded,2026-07-03 08:47:00
hr_technical_interview,Kaggle: mohakpatel2004/interview-questions-hrtechnical,660,4,Downloaded,2026-07-03 08:47:04
resume_job_description,Kaggle: sayyedfaizan95/resume-and-job-description,1200,14,Downloaded,2026-07-03 08:47:07
software_engineering_kaggle,Kaggle: syedmharis/software-engineering-interview-questions-dataset,0,0,Downloaded,2026-07-03 08:47:10
ai_interview_questions,Hugging Face: K-areem/AI-Interview-Questions,4653,1,Downloaded,2026-07-09 12:52:15
ai_interview_questions,Hugging Face: K-areem/AI-Interview-Questions,1164,1,Downloaded,2026-07-09 12:52:15
chatbot_arena,Hugging Face: lmsys/chatbot_arena_conversations,0,0,Failed: Dataset 'lmsys/chatbot_arena_conversations' is a gated dataset on the Hub. You must be authenticated to access it.,2026-07-09 12:52:16
software_engineering_hf,Hugging Face: ali-alkhars/interviews,2292,2,Downloaded,2026-07-09 12:52:19
programming_interview,Hugging Face: Aiman1234/Interview-questions,496,6,Downloaded,2026-07-09 12:52:22
hr_technical_interview,Kaggle: mohakpatel2004/interview-questions-hrtechnical,660,4,Downloaded,2026-07-09 12:52:26
resume_job_description,Kaggle: sayyedfaizan95/resume-and-job-description,1200,14,Downloaded,2026-07-09 12:52:30
software_engineering_kaggle,Kaggle: syedmharis/software-engineering-interview-questions-dataset,0,0,Downloaded,2026-07-09 12:52:33
