id,question,answer,category,subcategory,difficulty,source,dataset_name,interview_type,language,tags,created_at
1,Explain the difference between list and tuple.,,Technical,Software Engineer,medium,Kaggle,HR Technical Interview,HR/Technical,English,"hr, technical, interview",2026-07-09 12:52:35
2,Explain the difference between list and array.,,Technical,Software Engineer,medium,Kaggle,HR Technical Interview,HR/Technical,English,"hr, technical, interview",2026-07-09 12:52:35
3,Explain the difference between list and hashmap.,,Technical,Software Engineer,medium,Kaggle,HR Technical Interview,HR/Technical,English,"hr, technical, interview",2026-07-09 12:52:35
4,Explain the difference between list and recursion.,,Technical,Software Engineer,easy,Kaggle,HR Technical Interview,HR/Technical,English,"hr, technical, interview",2026-07-09 12:52:35
5,Explain the difference between list and inheritance.,,Technical,Software Engineer,hard,Kaggle,HR Technical Interview,HR/Technical,English,"hr, technical, interview",2026-07-09 12:52:35
6,Explain the difference between list and encapsulation.,,Technical,Software Engineer,hard,Kaggle,HR Technical Interview,HR/Technical,English,"hr, technical, interview",2026-07-09 12:52:35
7,Explain the difference between list and polymorphism.,,Technical,Software Engineer,easy,Kaggle,HR Technical Interview,HR/Technical,English,"hr, technical, interview",2026-07-09 12:52:35
8,Explain the difference between list and pointers.,,Technical,Software Engineer,medium,Kaggle,HR Technical Interview,HR/Technical,English,"hr, technical, interview",2026-07-09 12:52:35
9,Explain the difference between list and REST API.,,Technical,Software Engineer,hard,Kaggle,HR Technical Interview,HR/Technical,English,"hr, technical, interview",2026-07-09 12:52:35
10,Explain the difference between list and SQL injection.,,Technical,Software Engineer,easy,Kaggle,HR Technical Interview,HR/Technical,English,"hr, technical, interview",2026-07-09 12:52:35
11,Explain the difference between list and multithreading.,,Technical,Software Engineer,medium,Kaggle,HR Technical Interview,HR/Technical,English,"hr, technical, interview",2026-07-09 12:52:35
12,Explain the difference between list and deadlock.,,Technical,Software Engineer,hard,Kaggle,HR Technical Interview,HR/Technical,English,"hr, technical, interview",2026-07-09 12:52:35
13,Explain the difference between list and garbage collection.,,Technical,Software Engineer,hard,Kaggle,HR Technical Interview,HR/Technical,English,"hr, technical, interview",2026-07-09 12:52:35
14,Explain the difference between list and Big O notation.,,Technical,Software Engineer,easy,Kaggle,HR Technical Interview,HR/Technical,English,"hr, technical, interview",2026-07-09 12:52:35
15,Explain the difference between list and stack.,,Technical,Software Engineer,medium,Kaggle,HR Technical Interview,HR/Technical,English,"hr, technical, interview",2026-07-09 12:52:35
16,Explain the difference between list and queue.,,Technical,Software Engineer,medium,Kaggle,HR Technical Interview,HR/Technical,English,"hr, technical, interview",2026-07-09 12:52:35
17,Explain the difference between list and dictionary.,,Technical,Software Engineer,hard,Kaggle,HR Technical Interview,HR/Technical,English,"hr, technical, interview",2026-07-09 12:52:35
18,Explain the difference between list and lambda function.,,Technical,Software Engineer,hard,Kaggle,HR Technical Interview,HR/Technical,English,"hr, technical, interview",2026-07-09 12:52:35
19,Explain the difference between list and virtual memory.,,Technical,Software Engineer,medium,Kaggle,HR Technical Interview,HR/Technical,English,"hr, technical, interview",2026-07-09 12:52:35
20,Explain the difference between list and exception handling.,,Technical,Software Engineer,easy,Kaggle,HR Technical Interview,HR/Technical,English,"hr, technical, interview",2026-07-09 12:52:35
21,Explain the difference between list and binary search.,,Technical,Software Engineer,medium,Kaggle,HR Technical Interview,HR/Technical,English,"hr, technical, interview",2026-07-09 12:52:35
22,Explain the difference between list and linked list.,,Technical,Software Engineer,hard,Kaggle,HR Technical Interview,HR/Technical,English,"hr, technical, interview",2026-07-09 12:52:35
23,Explain the difference between list and merge sort.,,Technical,Software Engineer,easy,Kaggle,HR Technical Interview,HR/Technical,English,"hr, technical, interview",2026-07-09 12:52:35
24,Explain the difference between list and interface.,,Technical,Software Engineer,hard,Kaggle,HR Technical Interview,HR/Technical,English,"hr, technical, interview",2026-07-09 12:52:35
