id,question,answer,category,subcategory,difficulty,source,dataset_name,interview_type,language,tags,created_at
1,Why should we hire you?,,Software Engineering,Software Engineering,Unknown,Hugging Face,Software Engineering Interviews HF,Technical,English,General interview question,2026-07-09 12:52:34
2,Tell me about yourself.,,Software Engineering,Software Engineering,Unknown,Hugging Face,Software Engineering Interviews HF,Technical,English,General interview question,2026-07-09 12:52:34
3,What is Angular Framework?,,Software Engineering,Software Engineering,Unknown,Hugging Face,Software Engineering Interviews HF,Technical,English,Can you give me interview questions about Angular?,2026-07-09 12:52:34
4,What is the difference between AngularJS and Angular?,,Software Engineering,Software Engineering,Unknown,Hugging Face,Software Engineering Interviews HF,Technical,English,Could we do a mock interview?,2026-07-09 12:52:34
5,What is TypeScript?,,Software Engineering,Software Engineering,Unknown,Hugging Face,Software Engineering Interviews HF,Technical,English,Could we do a mock interview?,2026-07-09 12:52:34
6,Write a pictorial diagram of Angular architecture?,,Software Engineering,Software Engineering,Unknown,Hugging Face,Software Engineering Interviews HF,Technical,English,Prepare me for an interview for a software engineering role,2026-07-09 12:52:34
7,What are the key components of Angular?,,Software Engineering,Software Engineering,Unknown,Hugging Face,Software Engineering Interviews HF,Technical,English,Prepare me for an interview for a software engineering role,2026-07-09 12:52:34
8,What are directives?,,Software Engineering,Software Engineering,Unknown,Hugging Face,Software Engineering Interviews HF,Technical,English,Prepare me for an interview on Angular,2026-07-09 12:52:34
9,What are components?,,Software Engineering,Software Engineering,Unknown,Hugging Face,Software Engineering Interviews HF,Technical,English,Can you give me interview questions about Angular?,2026-07-09 12:52:34
10,What are the differences between Component and Directive?,,Software Engineering,Software Engineering,Unknown,Hugging Face,Software Engineering Interviews HF,Technical,English,I want interview questions about Angular,2026-07-09 12:52:34
11,What is a template?,,Software Engineering,Software Engineering,Unknown,Hugging Face,Software Engineering Interviews HF,Technical,English,Prepare me for an interview on Angular,2026-07-09 12:52:34
12,What is a module?,,Software Engineering,Software Engineering,Unknown,Hugging Face,Software Engineering Interviews HF,Technical,English,I want interview questions about Angular,2026-07-09 12:52:34
